"Match","Round","Random","Tom","Dani","Hellen","Isla","Mike","Jennie","Ashleigh","Phil","Fiona","Merry","Dan","Linda","Ellie","Richard","Henny","Anthony","Nicole","Pria","Meg","Fran","Rikki"
"WC","Wild Card",0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1
"A11","Round 1",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"A12","Round 1",0,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1
"A13","Round 1",0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"A14","Round 1",1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1
"A15","Round 1",1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1
"A16","Round 1",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"A17","Round 1",1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"A18","Round 1",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"B11","Round 1",0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1
"B12","Round 1",1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
"B13","Round 1",0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1
"B14","Round 1",1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0
"B15","Round 1",1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"B16","Round 1",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
"B17","Round 1",1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"B18","Round 1",1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
"C11","Round 1",1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"C12","Round 1",1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
"C13","Round 1",0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"C14","Round 1",0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"C15","Round 1",0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0
"C16","Round 1",0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1
"C17","Round 1",1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0
"C18","Round 1",0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1
"D11","Round 1",0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
"D12","Round 1",0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0
"D13","Round 1",1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
"D14","Round 1",1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0
"D15","Round 1",1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
"D16","Round 1",0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"D17","Round 1",0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
"D18","Round 1",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0
"A21","Round 2",2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0
"A22","Round 2",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"A23","Round 2",0,2,2,2,2,0,2,2,2,0,0,0,2,2,0,0,0,2,2,0,0,0
"A24","Round 2",2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"B21","Round 2",0,2,2,2,2,0,2,0,2,0,2,2,0,2,2,2,0,2,0,0,2,0
"B22","Round 2",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"B23","Round 2",0,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,2,0,2,0,0
"B24","Round 2",2,0,2,2,2,0,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2
"C21","Round 2",0,2,2,2,2,0,2,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0
"C22","Round 2",0,2,2,2,0,0,0,0,2,0,2,0,0,2,0,2,2,2,2,2,0,0
"C23","Round 2",0,2,2,2,2,0,2,2,0,0,0,2,0,0,0,2,0,2,0,0,0,2
"C24","Round 2",0,2,2,2,2,0,2,0,2,0,2,0,0,2,2,2,0,2,0,0,2,0
"D21","Round 2",0,2,2,2,2,0,2,0,2,0,2,0,0,2,2,2,0,2,0,2,2,0
"D22","Round 2",2,2,0,0,0,0,0,2,0,0,0,0,2,2,2,2,0,0,2,2,2,0
"D23","Round 2",0,2,2,2,0,0,0,0,2,2,0,0,2,0,2,2,2,2,2,0,0,2
"D24","Round 2",0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0
"A31","Round 3",3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,0
"A32","Round 3",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"B31","Round 3",0,3,3,0,3,0,0,0,3,0,3,3,0,3,3,3,0,3,0,0,3,0
"B32","Round 3",3,0,0,3,3,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0
"C31","Round 3",0,3,3,3,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,0,0
"C32","Round 3",0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0
"D31","Round 3",0,0,3,3,3,0,3,0,3,0,3,0,0,3,3,3,0,3,0,0,0,0
"D32","Round 3",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q1","Quarter Final",5,5,0,5,0,0,5,5,5,5,5,0,0,0,5,5,0,5,5,5,0,0
"Q2","Quarter Final",0,5,5,0,0,0,0,0,5,0,5,5,0,5,5,5,0,5,0,0,5,0
"Q3","Quarter Final",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Q4","Quarter Final",0,0,5,0,5,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0
"S1","Semi Final",8,8,0,8,0,0,8,0,8,8,8,0,0,0,8,8,0,8,8,0,0,0
"S2","Semi Final",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F","Final",0,13,0,0,0,0,0,0,0,13,0,0,0,0,13,13,0,13,0,0,0,0
